Date,USD,EUR,JPY,GBP,AUD,CAD,NZD,SEK,NOK,VIX,USDi,NZDi,GBPi,NOKi,JPYi,CADi,AUDi,CHFi,SEKi,EURi
2006-09-30,1.2504,1.58638248,0.0105975082634121,2.34024864,0.93292344,1.1213344094700026,0.8165112,0.1709901951399619,0.1922125036508692,11.98,5.34,7.56,5.02501,3.37,0.436,4.3215,6.21,1.717804,2.54,3.3354
2006-10-31,1.2424,1.58691752,0.0106351652114363,2.37099616,0.96199032,1.106617974525697,0.8332776799999999,0.1722899418951338,0.1902020820575627,11.1,5.33,7.66,5.13176,3.48,0.447,4.327619,6.28,1.758905,2.74,3.502
2006-11-30,1.1966,1.5868112600000002,0.0103556901774123,2.35646438,0.94483536,1.0484535179181635,0.8196710000000001,0.1751181747669432,0.1944995286239069,10.91,5.32,7.61,5.22544,3.62,0.502,4.312381,6.37,1.844579,2.9,3.5972
2006-12-31,1.2195,1.60937415,0.0102461771130902,2.3885127,0.9614538,1.0466014418125644,0.8592597000000001,0.1784407831201896,0.1957872429238846,11.56,5.32,7.66,5.29167,3.8,0.54,4.320588,6.39,2.000507,3.0,3.6842
2007-01-31,1.247,1.6208506000000005,0.0103040819699223,2.4454917000000003,0.965178,1.0574966078697423,0.8549432,0.1790303360946405,0.1991821870108296,10.42,5.32,7.7,5.48623,3.98,0.54,4.333636,6.43,2.076484,3.21,3.7519
2007-02-28,1.2189,1.6126047,0.0103008535451702,2.39062857,0.96195588,1.041794871794872,0.8546926800000001,0.1741783366676193,0.1987898753995694,15.42,5.31,7.75,5.5657,4.2,0.66,4.348,6.37,2.126084,3.29,3.8182
2007-03-31,1.2126,1.6217312399999997,0.0103147329023477,2.3870031,0.98269104,1.0516912402428449,0.8679790799999999,0.1736328880106533,0.1995261131404876,14.64,5.3,7.88,5.54946,4.43,0.66,4.345909,6.43,2.191262,3.26,3.8909
2007-04-30,1.2064,1.6479424,0.010100468854655,2.4128,1.00444864,1.0899891579327792,0.895752,0.1801269130272489,0.2029575545498898,14.22,5.31,7.98,5.64899,4.54,0.65,4.35,6.48,2.249416,3.34,3.9753
2007-05-31,1.2252,1.64826156,0.010062417871222,2.4255284400000003,1.0134854400000002,1.1449397252593216,0.9023598000000002,0.1770750531138442,0.2028376074036058,13.05,5.31,8.09,5.76742,4.6,0.67,4.368636,6.37,2.372672,3.4,4.0714
2007-06-30,1.224,1.654848,0.0099197665937272,2.4557112,1.0392983999999998,1.1510250141056988,0.946152,0.178803593601636,0.2076617691968375,16.23,5.33,8.32,5.88018,4.75,0.73,4.529524,6.42,2.603583,3.45,4.1478
2007-07-31,1.2021,1.64819931,0.0100906572651725,2.44795644,1.03308474,1.1280968468468466,0.92742015,0.1790251239817117,0.2069517611816961,23.52,5.32,8.44,6.02396,4.89,0.77,4.68,6.47,2.569857,3.53,4.2162
2007-08-31,1.2071,1.64660511,0.0104213070879737,2.4341171500000005,0.98463147,1.1430871212121212,0.84798775,0.1753944959460637,0.2073698677203229,23.38,5.49,8.72,6.41946,5.18,0.84,4.947273,6.75,2.617643,3.58,4.5436
2007-09-30,1.1672,1.65964168,0.0101522136209445,2.37980408,1.0335556,1.172005221407772,0.8833369600000001,0.1802764692254228,0.2157685553193455,18.0,5.46,8.81,6.64694,5.51,0.85,5.119473,6.94,2.427135,3.62,4.7417
2007-10-31,1.1589,1.67669652,0.0100537867615164,2.40784653,1.07441619,1.2204085930918285,0.89154177,0.1821940636397937,0.2151409954146323,18.53,5.08,8.68,6.27014,5.67,0.85,4.915,6.91,2.359806,3.81,4.6874
2007-11-30,1.1287,1.6578345600000002,0.0101666366420464,2.32139729,0.99867376,1.127910462676127,0.86582577,0.1768955897564492,0.2042711066871776,22.87,4.97,8.73,6.40858,5.78,0.87,4.767619,7.15,2.319167,4.02,4.6385
